name,upper,lower,cardio,ruck,timed,full_body,ab
mountain climber,,1,,,,,
squat,,1,,,,,
lunge,,1,,,,,
jumping jack,,,,,,1,
situp,,,,,,,1
crunch,,,,,,,1
leg raise,,,,,,,1
flutter kick,,,,,,,1
run,,1,1,,1,,
light ruck,,1,1,1,1,,
heavy ruck,,1,1,1,1,,
ruck squat,,1,,1,,,
ruck push up,1,,,1,,,
ruck chest press,1,,,1,,,
ruck shoulder raise,1,,,1,,,
ruck military press,1,,,1,,,
navy seal,,,,,,1,
1 pump burpee,,,,,,1,
2 pump burpee,,,,,,1,
3 pump burpee,,,,,,1,
Push-up,1,,,,,,
plank,,,,,,,1
sprint,,1,1,,1,,
